action_idx,type,vwl,vbsl_bin,vbsl_range
213,SET,106,1,8-15
214,SET,106,2,16-23
215,SET,106,3,24-31
216,SET,108,0,0-7
217,SET,108,1,8-15
218,SET,108,2,16-23
219,SET,108,3,24-31
220,SET,110,0,0-7
221,SET,110,1,8-15
222,SET,110,2,16-23
223,SET,110,3,24-31
224,SET,112,0,0-7
225,SET,112,1,8-15
226,SET,112,2,16-23
227,SET,112,3,24-31
228,SET,114,0,0-7
229,SET,114,1,8-15
230,SET,114,2,16-23
231,SET,114,3,24-31
232,SET,116,0,0-7
233,SET,116,1,8-15
234,SET,116,2,16-23
235,SET,116,3,24-31
236,SET,118,0,0-7
237,SET,118,1,8-15
238,SET,118,2,16-23
239,SET,118,3,24-31
240,SET,120,0,0-7
241,SET,120,1,8-15
242,SET,120,2,16-23
243,SET,120,3,24-31
244,SET,122,0,0-7
245,SET,122,1,8-15
246,SET,122,2,16-23
247,SET,122,3,24-31
248,SET,124,0,0-7
249,SET,124,1,8-15
250,SET,124,2,16-23
251,SET,124,3,24-31
252,SET,126,0,0-7
253,SET,126,1,8-15
254,SET,126,2,16-23
255,SET,126,3,24-31
256,SET,128,0,0-7
257,SET,128,1,8-15
258,SET,128,2,16-23
259,SET,128,3,24-31
260,SET,130,0,0-7
261,SET,130,1,8-15
262,SET,130,2,16-23
263,SET,130,3,24-31
264,SET,132,0,0-7
265,SET,132,1,8-15
266,SET,132,2,16-23
267,SET,132,3,24-31
268,SET,134,0,0-7
269,SET,134,1,8-15
270,SET,134,2,16-23
271,SET,134,3,24-31
272,SET,136,0,0-7
273,SET,136,1,8-15
274,SET,136,2,16-23
275,SET,136,3,24-31
276,SET,138,0,0-7
277,SET,138,1,8-15
278,SET,138,2,16-23
279,SET,138,3,24-31
280,SET,140,0,0-7
281,SET,140,1,8-15
282,SET,140,2,16-23
283,SET,140,3,24-31
284,SET,142,0,0-7
285,SET,142,1,8-15
286,SET,142,2,16-23
287,SET,142,3,24-31
288,SET,144,0,0-7
289,SET,144,1,8-15
290,SET,144,2,16-23
291,SET,144,3,24-31
292,SET,146,0,0-7
293,SET,146,1,8-15
294,SET,146,2,16-23
295,SET,146,3,24-31
296,SET,148,0,0-7
297,SET,148,1,8-15
298,SET,148,2,16-23
299,SET,148,3,24-31
300,SET,150,0,0-7
301,SET,150,1,8-15
302,SET,150,2,16-23
303,SET,150,3,24-31
304,SET,152,0,0-7
305,SET,152,1,8-15
306,SET,152,2,16-23
307,SET,152,3,24-31
308,SET,154,0,0-7
309,SET,154,1,8-15
310,SET,154,2,16-23
311,SET,154,3,24-31
312,SET,156,0,0-7
313,SET,156,1,8-15
314,SET,156,2,16-23
315,SET,156,3,24-31
316,SET,158,0,0-7
317,SET,158,1,8-15
318,SET,158,2,16-23
319,SET,158,3,24-31
320,SET,160,0,0-7
321,SET,160,1,8-15
322,SET,160,2,16-23
323,SET,160,3,24-31
324,SET,162,0,0-7
325,SET,162,1,8-15
326,SET,162,2,16-23
327,SET,162,3,24-31
328,SET,164,0,0-7
329,SET,164,1,8-15
330,SET,164,2,16-23
331,SET,164,3,24-31
332,SET,166,0,0-7
333,SET,166,1,8-15
334,SET,166,2,16-23
335,SET,166,3,24-31
336,SET,168,0,0-7
337,SET,168,1,8-15
338,SET,168,2,16-23
339,SET,168,3,24-31
340,SET,170,0,0-7
341,SET,170,1,8-15
342,SET,170,2,16-23
343,SET,170,3,24-31
344,SET,172,0,0-7
345,SET,172,1,8-15
346,SET,172,2,16-23
347,SET,172,3,24-31
348,SET,174,0,0-7
349,SET,174,1,8-15
